"","plot","variable","value","date"
"204",3,"def",-0.674490749835968,2012-12-01
"205",3,"def",-0.674490749835968,2013-01-01
"206",3,"def",-0.239828005433083,2013-02-01
"207",3,"def",0.886228621006012,2013-03-01
"208",3,"def",1.06995701789856,2013-04-01
"209",3,"def",0.554803729057312,2013-05-01
"210",3,"def",0.676730394363403,2013-06-01
"211",3,"def",0.219932451844215,2013-07-01
"212",3,"def",-0.276100486516953,2013-08-01
"213",3,"def",-1.93574512004852,2013-09-01
"214",3,"def",-0.493006885051727,2013-10-01
"215",3,"def",0.768815159797668,2013-11-01
"216",3,"def",-0.674490749835968,2013-12-01
"217",3,"def",3,2014-01-01
"218",3,"def",0.149897322058678,2014-02-01
"219",3,"def",0.421466529369354,2014-03-01
"220",3,"def",1.0231945514679,2014-04-01
"221",3,"def",0.765359818935394,2014-05-01
"222",3,"def",0.545087158679962,2014-06-01
"223",3,"def",-0.0971470400691032,2014-07-01
"224",3,"def",-3,2014-08-01
"225",3,"def",-0.674043476581573,2014-09-01
"226",3,"def",1.01456809043884,2014-10-01
"227",3,"def",-0.049397885799408,2014-11-01
"228",3,"def",-0.674490749835968,2014-12-01
"229",3,"def",3,2015-01-01
"230",3,"def",2.36557531356812,2015-02-01
"231",3,"def",2.01894426345825,2015-03-01
"232",3,"def",0.503220796585083,2015-04-01
"233",3,"def",-1.35915589332581,2015-05-01
"234",3,"def",0.288304060697556,2015-06-01
"235",3,"def",-2.30804586410522,2015-07-01
"236",3,"def",-0.698604762554169,2015-08-01
"237",3,"def",0.531406164169312,2015-09-01
"238",3,"def",-1.50011372566223,2015-10-01
"239",3,"def",-0.885338544845581,2015-11-01
"240",3,"def",-0.674490749835968,2015-12-01
"241",3,"def",-0.618283152580261,2016-01-01
"242",3,"def",-0.674490869045258,2016-02-01
"243",3,"def",0.128518775105476,2016-03-01
"244",3,"def",0.0338562950491905,2016-04-01
"245",3,"def",-0.202327817678452,2016-05-01
"246",3,"def",0.749696969985962,2016-06-01
"247",3,"def",0.767006158828735,2016-07-01
"248",3,"def",0.818073332309723,2016-08-01
"249",3,"def",-0.514225959777832,2016-09-01
"250",3,"def",-1.01343655586243,2016-10-01
"251",3,"def",1.19051325321198,2016-11-01
"252",3,"def",-0.674490690231323,2016-12-01
"253",4,"def",2.28654742240906,2010-01-01
"254",4,"def",0.950479567050934,2010-02-01
"255",4,"def",0.421059519052505,2010-03-01
"256",4,"def",0.060904897749424,2010-04-01
"257",4,"def",-0.978549242019653,2010-05-01
"258",4,"def",0.139028295874596,2010-06-01
"259",4,"def",1.07676339149475,2010-07-01
"260",4,"def",0.0907464995980263,2010-08-01
"261",4,"def",0.343450963497162,2010-09-01
"262",4,"def",-1.10287535190582,2010-10-01
"263",4,"def",-0.146726474165916,2010-11-01
"264",4,"def",-0.606309294700623,2010-12-01
"265",4,"def",3,2011-01-01
"266",4,"def",0.27220892906189,2011-02-01
"267",4,"def",-0.684451818466187,2011-03-01
"268",4,"def",-1.53156781196594,2011-04-01
"269",4,"def",-1.2562849521637,2011-05-01
"270",4,"def",-0.382282257080078,2011-06-01
"271",4,"def",0.293203830718994,2011-07-01
"272",4,"def",0.606643259525299,2011-08-01
"273",4,"def",0.381063759326935,2011-09-01
"274",4,"def",-0.197901457548141,2011-10-01
"275",4,"def",0.331518024206161,2011-11-01
"276",4,"def",0.774458646774292,2011-12-01
"277",4,"def",3,2012-01-01
"278",4,"def",1.33201253414154,2012-02-01
"279",4,"def",0.515746474266052,2012-03-01
"280",4,"def",0.91613632440567,2012-04-01
"281",4,"def",1.28076362609863,2012-05-01
"282",4,"def",0.892453014850616,2012-06-01
"283",4,"def",0.743549585342407,2012-07-01
"284",4,"def",0.240424081683159,2012-08-01
"285",4,"def",1.02414429187775,2012-09-01
"286",4,"def",1.07992625236511,2012-10-01
"287",4,"def",1.58931887149811,2012-11-01
"288",4,"def",-0.704755187034607,2012-12-01
"289",4,"def",-0.674490809440613,2013-01-01
"290",4,"def",-0.810210943222046,2013-02-01
"291",4,"def",0.448446124792099,2013-03-01
"292",4,"def",0.721546709537506,2013-04-01
"293",4,"def",0.697048485279083,2013-05-01
"294",4,"def",0.855803072452545,2013-06-01
"295",4,"def",0.456808686256409,2013-07-01
"296",4,"def",-0.430903881788254,2013-08-01
"297",4,"def",-2.80762124061584,2013-09-01
"298",4,"def",-0.574835896492004,2013-10-01
"299",4,"def",0.133525520563126,2013-11-01
"300",4,"def",-0.704755127429962,2013-12-01
"301",4,"def",2.02557110786438,2014-01-01
"302",4,"def",-0.442774474620819,2014-02-01
"303",4,"def",0.551326751708984,2014-03-01
"304",4,"def",0.351741969585419,2014-04-01
"305",4,"def",0.565725684165955,2014-05-01
"306",4,"def",0.550712883472443,2014-06-01
"307",4,"def",-0.0200826022773981,2014-07-01
"308",4,"def",-3,2014-08-01
"309",4,"def",-0.537736356258392,2014-09-01
"310",4,"def",1.15471827983856,2014-10-01
"311",4,"def",0.302023649215698,2014-11-01
"312",4,"def",-0.704755187034607,2014-12-01
"313",4,"def",2.93333196640015,2015-01-01
"314",4,"def",1.99796223640442,2015-02-01
"315",4,"def",1.74329435825348,2015-03-01
