Site_number,Transect,Site.type,Bromus_TN_pct,Bromus_TC_pct,Bromus_CN,Other_TN_pct,Other_TC_pct,Other_CN,Poa_TN_pct,Poa_TC_pct,Poa_CN,Litter_TN_pct,Litter_TC_pct,Litter_CN,SOIL_SurSo4_kg_ha,SOIL_Ca_kg_ha,SOIL_Mg_kg_ha,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,Bare,Litter,Crypto,AIG,AIF,PNF,PNG,ANF,Shrubs,Rock,Year,ppt_2yrtot,ppt_2yr,ppt_1yr,tmax,tmin,vpdmx,shrub_b,soil_n_kg_ha,soil_c_kg_ha,inv,NO3_kg_ha,NH4_kg_ha,total_mineral_n
20,C,Cheatgrass-dominated,0.97,39.53,40.77,1.62,44.01,27.2,NA,NA,NA,0.72,37.27,51.67753,-0.6761697579671785,4942.8696799355,1237.80126048975,1.35,0.08,16.875,39.7,56.7,0,5.8,4.22,0,0,0.01,0,1.03,2013,243.01999849081,153.099997282028,152.260000765324,22.0799999237061,-13.8299999237061,23.1599998474121,Grass,1123.5718528,18960.275016000003,1.2110679610104063,3.36818181818182,3.41196818181818,6.78015
21,A,Cheatgrass-dominated,1.03,41.48,40.35,1.99,42.25,21.25,NA,NA,NA,0.79,35.52,44.8599,-0.0311007294224276,9691.24757932267,893.272963518417,1.64,0.09,18.2222222222222,13.6,83.3,0,3.9,4.84,1.41,0,0.08,0,0.44,2013,235.87999919802,153.370000004768,142.359998263419,22.1800003051758,-14.4099998474121,23.2900009155273,Grass,1264.0183344,23033.2229824,2.011352645719231,5.61363636363636,4.31127272727273,9.92490909090909
21,B,Cheatgrass-dominated,0.89,40.91,46.18,1.66,43.1,25.92,NA,NA,NA,0.76,34.76,45.95248,-0.4126165311940806,9769.044291542,882.159147487083,1.48,0.08,18.5,4.9,91.6,0,4.8,5.57,0.01,0,0.07,0,1.12,2013,235.87999919802,153.370000004768,142.359998263419,22.1800003051758,-14.4099998474121,23.2900009155273,Grass,1123.5718528,20786.079276800003,2.4413362646172967,4.49090909090909,4.58521818181818,9.07612727272727
21,C,Cheatgrass-dominated,1.05,39.89,38,1.64,43.6,26.51,NA,NA,NA,0.84,32.19,38.21962,0.19768458050899673,5948.67003077117,1061.36943099233,1.61,0.09,17.8888888888889,16.8,79.4,0,4.4,6.06,0.8,0,0.09,0,1.23,2013,235.87999919802,153.370000004768,142.359998263419,22.1800003051758,-14.4099998474121,23.2900009155273,Grass,1264.0183344,22611.883537600002,2.010463081053374,7.85909090909091,4.82660454545455,12.68569545454546
22,A,Cheatgrass-dominated,1.26,40.66,32.33,2.5,38.77,15.52,1.93,42.35,21.9929379997923,0.79,32.15,40.49547,-0.37971118132606174,5068.982260232,1133.083779114,1.61,0.1,16.1,12.5,85.2,0,3.1,3.41,0,2.1,0.06,0,0.01,2013,348.020000457764,210.750003695488,201.569996118545,20.6499996185303,-11.1000003814697,21.1800003051758,Grass,1404.4648160000004,22611.883537600002,1.6381119402976179,4.49090909090909,4.3719,8.86280909090909
22,B,Cheatgrass-dominated,0.96,40.77,42.55,1.94,41.25,21.21,1.77,43.4,24.57778784618,0.95,32.59,34.23881,-0.449247015009423,4880.052287033,1091.062558234,1.5,0.09,16.6666666666667,17.4,80.7,0,2.91,3.33,0,2.2,0.07,0,0.02,2013,348.020000457764,210.750003695488,201.569996118545,20.6499996185303,-11.1000003814697,21.1800003051758,Grass,1264.0183344,21066.972240000003,1.4370331274952797,3.36818181818182,3.88014545454545,7.24832727272727
22,C,Cheatgrass-dominated,1.03,40.62,39.48,1.98,42.32,21.36,1.86,42.77,22.9660652920962,0.82,29.43,35.69739,-0.45576599941724016,4686.644258195,1127.26050432,1.78,0.1,17.8,18.9,78.7,0,3.31,4.62,0,1.01,0.05,0,0.01,2013,348.020000457764,210.750003695488,201.569996118545,20.6499996185303,-11.1000003814697,21.1800003051758,Grass,1404.4648160000004,24999.473724800002,1.643087111172933,4.49090909090909,4.48641818181818,8.977327272727269
23,A,Cheatgrass-dominated,1.62,41.46,25.66,2.87,40.29,14.06,NA,NA,NA,1.01,33.69,33.27966,-0.5731077187579126,8717.055851218,1286.122994442,2.15,0.11,19.5454545454545,1.01,96,0,6.3,0.74,0.01,0.21,0,0,1.5,2013,398.86999821662903,246.799997806549,239.549998044968,18.9099998474121,-10.6099996566772,18.3799991607666,Grass,1544.9112976000001,30195.993544,2.3836351677290906,5.61363636363636,4.85242727272727,10.466063636363629
23,B,Cheatgrass-dominated,1.51,41.46,27.41,2.41,40.46,16.79,NA,NA,NA,1.17,35.73,30.59332,-0.356429094155295,6888.114082116,1336.080808104,2.11,0.11,19.1818181818182,0.4,98.4,0,3.1,1.55,0,0,0,0,0,2013,398.86999821662903,246.799997806549,239.549998044968,18.9099998474121,-10.6099996566772,18.3799991607666,Grass,1544.9112976000001,29634.2076176,2.225514314475215,5.61363636363636,5.30600909090909,10.91964545454545
23,C,Cheatgrass-dominated,1.4,40.92,29.32,NA,NA,NA,NA,NA,NA,1.07,37.5,34.9492,-0.7900967711894713,6553.95365244,1168.89839541,1.89,0.1,18.9,3.11,85.4,0,2.3,1.62,0,0,0,0,0.01,2013,398.86999821662903,246.799997806549,239.549998044968,18.9099998474121,-10.6099996566772,18.3799991607666,Grass,1404.4648160000004,26544.3850224,1.8765321135674657,4.49090909090909,4.27871363636364,8.76962272727273
