"","plot","date","variable","value","mean","sd","z","month","norm","anomaly","amean","asd","z_anom"
"3851","1",2014-06-01,"aet",6.07735681533813,20.7090106409235,15.0855625832308,-0.969911048716864,6,17.9497394561768,-11.8723826408387,-0.710295112784436,12.8997929955627,-0.86529198816553
"3852","1",2014-06-01,"aet",6.07735681533813,20.7090106409235,15.0855625832308,-0.969911048716864,6,17.9497394561768,-11.8723826408387,-0.710295112784436,12.8997929955627,-0.86529198816553
"3853","2",2014-06-01,"aet",5.14408206939697,20.7090106409235,15.0855625832308,-1.03177647407253,6,19.1842842102051,-14.0402021408081,-0.710295112784436,12.8997929955627,-1.03334270810461
"3854","2",2014-06-01,"aet",5.14408206939697,20.7090106409235,15.0855625832308,-1.03177647407253,6,19.1842842102051,-14.0402021408081,-0.710295112784436,12.8997929955627,-1.03334270810461
"3855","3",2014-06-01,"aet",4.57843494415283,20.7090106409235,15.0855625832308,-1.0692723992078,6,17.8184261322021,-13.2399911880493,-0.710295112784436,12.8997929955627,-0.971309855869378
"3856","3",2014-06-01,"aet",4.57843494415283,20.7090106409235,15.0855625832308,-1.0692723992078,6,17.8184261322021,-13.2399911880493,-0.710295112784436,12.8997929955627,-0.971309855869378
"3857","4",2014-06-01,"aet",3.99847936630249,20.7090106409235,15.0855625832308,-1.10771681085308,6,13.6022996902466,-9.60382032394411,-0.710295112784436,12.8997929955627,-0.689431622214316
"3858","4",2014-06-01,"aet",3.99847936630249,20.7090106409235,15.0855625832308,-1.10771681085308,6,13.6022996902466,-9.60382032394411,-0.710295112784436,12.8997929955627,-0.689431622214316
"3859","5",2014-06-01,"aet",4.36584281921387,20.7090106409235,15.0855625832308,-1.08336482193092,6,14.5934314727783,-10.2275886535644,-0.710295112784436,12.8997929955627,-0.73778653223767
"3860","5",2014-06-01,"aet",4.36584281921387,20.7090106409235,15.0855625832308,-1.08336482193092,6,14.5934314727783,-10.2275886535644,-0.710295112784436,12.8997929955627,-0.73778653223767
"3861","6",2014-06-01,"aet",8.78618621826172,20.7090106409235,15.0855625832308,-0.790346687893177,6,19.6137657165527,-10.827579498291,-0.710295112784436,12.8997929955627,-0.784298196799491
"3862","6",2014-06-01,"aet",8.78618621826172,20.7090106409235,15.0855625832308,-0.790346687893177,6,19.6137657165527,-10.827579498291,-0.710295112784436,12.8997929955627,-0.784298196799491
"3863","7",2014-06-01,"aet",6.28731536865234,20.7090106409235,15.0855625832308,-0.955993201625925,6,20.6775360107422,-14.3902206420899,-0.710295112784436,12.8997929955627,-1.06047636066804
"3864","7",2014-06-01,"aet",6.28731536865234,20.7090106409235,15.0855625832308,-0.955993201625925,6,20.6775360107422,-14.3902206420899,-0.710295112784436,12.8997929955627,-1.06047636066804
"3865","8",2014-06-01,"aet",5.69985866546631,20.7090106409235,15.0855625832308,-0.994934851958479,6,20.819356918335,-15.1194982528687,-0.710295112784436,12.8997929955627,-1.11701041598425
"3866","8",2014-06-01,"aet",5.69985866546631,20.7090106409235,15.0855625832308,-0.994934851958479,6,20.819356918335,-15.1194982528687,-0.710295112784436,12.8997929955627,-1.11701041598425
"3867","10",2014-06-01,"aet",5.15390348434448,20.7090106409235,15.0855625832308,-1.03112542676201,6,14.2625255584717,-9.10862207412722,-0.710295112784436,12.8997929955627,-0.651043544980268
