"","plot","date","variable","value"
"4328",12,201108,"tmin",12.6899995803833
"4329",12,201109,"tmin",9.32999992370605
"4330",12,201110,"tmin",3.17000007629395
"4331",12,201111,"tmin",-3.32999992370605
"4332",12,201112,"tmin",-8.98999977111816
"4333",12,201201,"tmin",-6.05999994277954
"4334",12,201202,"tmin",-5.55000019073486
"4335",12,201203,"tmin",-1.35000002384186
"4336",12,201204,"tmin",1.73000001907349
"4337",12,201205,"tmin",4.98999977111816
"4338",12,201206,"tmin",8.57999992370605
"4339",12,201207,"tmin",15.2299995422363
"4340",12,201208,"tmin",14.5100002288818
"4341",12,201209,"tmin",9.47999954223633
"4342",12,201210,"tmin",2.98000001907349
"4343",12,201211,"tmin",-0.569999992847443
"4344",12,201212,"tmin",-4.23000001907349
"4345",12,201301,"tmin",-12.2399997711182
"4346",12,201302,"tmin",-4.76999998092651
"4347",12,201303,"tmin",-1.50999999046326
"4348",12,201304,"tmin",0.370000004768372
"4349",12,201305,"tmin",4.90999984741211
"4350",12,201306,"tmin",9.85000038146973
"4351",12,201307,"tmin",16.6599998474121
"4352",12,201308,"tmin",13.4399995803833
"4353",12,201309,"tmin",9.1899995803833
"4354",12,201310,"tmin",0.479999989271164
"4355",12,201311,"tmin",-1.11000001430511
"4356",12,201312,"tmin",-10.4899997711182
"4357",12,201401,"tmin",-4.09000015258789
"4358",12,201402,"tmin",-1.53999996185303
"4359",12,201403,"tmin",-0.970000028610229
"4360",12,201404,"tmin",1.23000001907349
"4361",12,201405,"tmin",5.44000005722046
"4362",12,201406,"tmin",9.85999965667725
"4363",12,201407,"tmin",16.75
"4364",12,201408,"tmin",13.6000003814697
"4365",12,201409,"tmin",10.289999961853
"4366",12,201410,"tmin",3.8199999332428
"4367",12,201411,"tmin",-1.44000005722046
"4368",12,201412,"tmin",-1.97000002861023
"4369",12,201501,"tmin",-3.50999999046326
"4370",12,201502,"tmin",-1.26999998092651
"4371",12,201503,"tmin",0.28999999165535
"4372",12,201504,"tmin",-0.0599999986588955
"4373",12,201505,"tmin",6.5
"4374",12,201506,"tmin",12.8999996185303
"4375",12,201507,"tmin",14.3299999237061
"4376",12,201508,"tmin",14.039999961853
"4377",12,201509,"tmin",9.01000022888184
"4378",12,201510,"tmin",6.80000019073486
"4379",12,201511,"tmin",-2.88000011444092
"4380",12,201512,"tmin",-4.82000017166138
"4381",12,201601,"tmin",-4.98999977111816
"4382",12,201602,"tmin",-2.3199999332428
"4383",12,201603,"tmin",0.109999999403954
"4384",12,201604,"tmin",2.83999991416931
"4385",12,201605,"tmin",5.22599983215332
"4386",12,201606,"tmin",10.7170000076294
"4387",12,201607,"tmin",13.7259998321533
"4388",12,201608,"tmin",13.5270004272461
"4389",12,201609,"tmin",7.90100002288818
"4390",12,201610,"tmin",3.94899988174438
"4391",12,201611,"tmin",0.211999997496605
"4392",12,201612,"tmin",-7.44199991226196
"4393",13,201101,"tmin",-5.51000022888184
"4394",13,201102,"tmin",-5.32999992370605
"4395",13,201103,"tmin",-1.30999994277954
"4396",13,201104,"tmin",-0.889999985694885
"4397",13,201105,"tmin",2.36999988555908
"4398",13,201106,"tmin",6.86999988555908
"4399",13,201107,"tmin",12.289999961853
"4400",13,201108,"tmin",12.789999961853
"4401",13,201109,"tmin",9.57999992370605
"4402",13,201110,"tmin",3.26999998092651
"4403",13,201111,"tmin",-3.67000007629395
"4404",13,201112,"tmin",-7.8600001335144
"4405",13,201201,"tmin",-5.71999979019165
"4406",13,201202,"tmin",-5.23999977111816
"4407",13,201203,"tmin",-1.66999995708466
"4408",13,201204,"tmin",1.5
"4409",13,201205,"tmin",4.32000017166138
"4410",13,201206,"tmin",7.69000005722046
"4411",13,201207,"tmin",14.5200004577637
"4412",13,201208,"tmin",14.1099996566772
"4413",13,201209,"tmin",9.57999992370605
"4414",13,201210,"tmin",3.27999997138977
"4415",13,201211,"tmin",-0.349999994039536
"4416",13,201212,"tmin",-4.03000020980835
"4417",13,201301,"tmin",-11.4799995422363
"4418",13,201302,"tmin",-4.44000005722046
"4419",13,201303,"tmin",-1.62000000476837
"4420",13,201304,"tmin",0.280000001192093
"4421",13,201305,"tmin",4.48000001907349
"4422",13,201306,"tmin",8.64000034332275
"4423",13,201307,"tmin",15.8599996566772
"4424",13,201308,"tmin",14.4899997711182
"4425",13,201309,"tmin",8.94999980926514
"4426",13,201310,"tmin",0.889999985694885
"4427",13,201311,"tmin",-0.490000009536743
"4428",13,201312,"tmin",-9.46000003814697
"4429",13,201401,"tmin",-4.6100001335144
"4430",13,201402,"tmin",-1.76999998092651
"4431",13,201403,"tmin",-1.22000002861023
"4432",13,201404,"tmin",1.36000001430511
"4433",13,201405,"tmin",4.80999994277954
"4434",13,201406,"tmin",8.82999992370605
"4435",13,201407,"tmin",15.8299999237061
"4436",13,201408,"tmin",13.1800003051758
